intent_definition,l3_intent(master_intent),Example phrase,l2_intent,l1_intent
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,i want to buy laptop battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,my battery issue needs a battery replacement for the laptop,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,i want to buy original battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,i want to change the battery on my laptop,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,i want to know my battery is weak i want to know if i can replace it,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,i want to purchase a new battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,need new batterie for my laptop hp pavilion - 15-cc060wm,Purchase Parts,Purchase Product
Customer is unable to print. (general),Unable to Print Issue,printer won't print four by six photos,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,a printer is connected but can't use or can print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,my printer is not being recognized by my computer so i can't print anything,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,i cannot print due to an hp instant ink problem,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,my printer is on line and my printer is connected to the internet. i've run the diagnostic run - and there are no errors. So why does my account show that i cannot print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,printer set it's ready and available but will not print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,"printer not printing, but says ink cartridges are fine.",Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,printer is saying the printer is in use and i cannot print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,printer is not printing right off alarm at,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,cannot print with instant ink cartridges,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print and documents are in the quarry,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print and it says make sure that you have all the hp cartridges which,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print anything,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print i have a case number,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print i have reinstalled it i have checked to make sure i have internet connection i've unplugged it i've done everything i know to do it will not print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print is a case number five one zero seven nine nine six one five seven,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print the control panel is frozen,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print the print driver that print to q. says the print printer door is open,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,the printer will not print what i am trying to print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,my twenty was twenty oh year but it is not printing now,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,my wife tried to print and it would not print it said contact you,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,myprinter will not print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,need drivers unable to print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,need excess it's not printing,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,need help with a printer it won't print,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,need help with it not printing,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,need help with m110we printer,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,need help with my printer because it's not printing,Printing Issue,Print Device
Customer is unable to print. (general),Unable to Print Issue,"need printer to print, it won't print.",Printing Issue,Print Device
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,iv 2 devices connected,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,you know i'm gonna be added to my computer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,can i connect my laptop to a lan,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,connect wifi to my printer and to my laptop,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,connect the printer to a wireless network,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,i'm trying to print from my iphone to the printer that connects and then cut off,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,i'm having problems with connecting my cell phone to the printer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,i need help connecting my printer to my android phone and the internet,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,i can't connect my printer to my mobile device. can i get assistance,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,i got that the printer connected to the network,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having problem connecting a printer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having problem with printer connection,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having trouble connect the printer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having trouble connecting,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having trouble connecting devices to the printer apple devices,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having trouble connecting my laptop to my printer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having trouble connecting to my ipad,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,having trouble setting up network connections to printer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,hello connect my printer to internet,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,hello i am having a hard time connecting my printer to the internet,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,what is i need to hook my printer up to my laptop,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,where do i find advance settings to connect a printer i disconnected?,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,who's got a printer hook up laptop to drink,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,wireless printer with apple product,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,yeah connect my printer to my laptop,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,yeah i think my printer to my computer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,yeah i wanna connect my phone to the printer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,yeah i'm trying to get to be able to print off my iphone ipad and computer,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,yes connecting my printer to my laptop,Network Setup,Internet Wireless-Wired
"How to connect wireless devices such as printer to other devices (personal computer, smartphone, or tablet) via a wired, wireless, local, or mobile network connection. ",Connect Devices via Network,yes connecting the printer place to my laptop,Network Setup,Internet Wireless-Wired
,too vague,adaptor,,
,too vague, cancellation,,
,too vague,am i proxy information,,
,too vague,missing drivers,,
,too vague,fifth of stock,,
,too vague,downloaded hp is recent,,
,too vague,programs corrected,,
,too vague,i have printer hp deskjet 4100,,
,too vague,computer is booking,,
,too vague,i know isn't working,,
,too vague,i have the serial number,,
,too vague,i have this laptop,,
,too vague,i have windows 10 pro,,
,too vague,i hvae serial number the product i am using,,
,too vague,i i can see my scanners in rocking,,
,too vague,i just gave you the serial number,,
,too vague,i just have a simple question about getting my set,,
,too vague,i just purchased a 1 year plan to cover my printer..,,
,too vague,i just purchased my hp laptop,,
,too vague,i just want to ask,,
,too vague,how can i check my rom family,,
,too vague,how do i get rid of this garbage,,
,too vague,how do i know when my hp 2700 se,,
,too vague,how to,,
,too vague,how to get it to fiddle mode,,
,too vague,how to get started,,
,too vague,how to set up,,
,too vague,how we i do that??,,
,too vague,hp cares,,
,too vague,hp cloud,,
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,cannot connect to internet as on holiday,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,cannot get my chromebook to a to recognize the printer,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,not connecting to my computer,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,having trouble with connection - screen is showing two exclamation marks,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i cannot connect my product to the reptile,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,the printer will not connect with the available network,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,some programs won't connect to the internet,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,not able to please connect to my phone,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,not able to connect to the internet at this time,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i have connection problems and administrator problems,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i noticed your there is no any connection a of the are you know there's no any a it it totally dan let me see,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i search my interest offline but it's connected to the internet,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i won't let me connect to the internet because it says it's in safe mode,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i'm getting a report saying it's not connected to the internet,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i'm gonna cause not work when using internet remote systems,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,it recognizes the network but won't connect,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,it richer and accessible they laptop says the printer is not accessible it does say it's connected but not accessible,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,it says i'm not connected but i am,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,it says it's my printer has been disconnected from the internet and and it was working fine i'm i'm august the thirteenth or august eleventh,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,it will not connect i have no internet and it will not connect,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i need a rental will not be internet,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i need help it's offline i can't get it back online,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i need to scan and it's not connecting,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i noticed your there is no any connection a of the are you know there's no any a it it totally dan let me see,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i search my interest offline but it's connected to the internet,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i won't let me connect to the internet because it says it's in safe mode,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i'm by offline,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i'm connecting issue integral software,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i'm getting a report saying it's not connected to the internet,Network Issue,Internet Wireless-Wired
Device(s) experience network connection issue or error not specified as wired or wireless. (general),network connection issue,i'm gonna cause not work when using internet remote systems,Network Issue,Internet Wireless-Wired
Customer would like to make changes to personal or system related details on their account,account change or add details,can i pause my monthly subscription and begin to use some of my rollover pages?,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i want to delete an old printer from the my subscription,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,account updates and my monthly subscription,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,can't find how to update my payment method,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,can you change the printer from one account to another?,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i want to remove expired credit card information from the site,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i want to delete an old printer from my hp instant ink account,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i want to change the account that my hp ink account draws from.,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i want to change my credit card on record. i used you to tell me how to do it it does not work i went to home page then i went to account no billing subject came up only billing info how do i do what i want to do,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,can i change to a higher printing pages per month,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,is it possible to add another email to our account to receive notifications about cartridge replacements?,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,it's a new printer from someone that used to have instant bank account and so i need to get it switched over to my account,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,its for my dell computer. i need help to change my cc information so hp can get pd. my old number was comprismised. i am going in circles. i cannot figure out to move forward to change the payment info. can i get a walk through or something. i have been doing this same fusstrg r,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,it's not letting me update the address,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,it's not printing and it's asking me that i need to add an email address which is already in there and i don't know what to do i need help,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,it's saying update payment,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i've been trying to update my payment card details without much success . can you confirm the last 4 digits on the card registered to my account,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i've changed my address,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i've changed my credit card number i just want to change it to the new one,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i've changed printer how do i change the delivery of ink,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,hp printer 3830 is no longer in use. i have connected a new printer. it is connected to instantink,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,hp will not let me change my expiration date or cvv,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i added a deffereant credit card. you have my old card 3506 listed twice. i want to delete both 3506 cards,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i already signed up for instant ink and received 1 shipment of ink and 1 of paper. in between set deliveries my bank account was compromised and a new card was issued . i have not received any deliveries of either ink or paper. how do i add new payment method,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i am a customer and need to change my payment details,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i am confused about the billing and changing my plan to cater for my needs,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i am currently having several problems number one i need to update my home address and my phone number but i am not attached to a wi-fi or an ethernet network,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,"i am currently on 100 page per month plan, ends on 18th of month. i was just given large project to print, can i change plans now, for this billing period, to the 300 page per month plan?",Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i am getting a message that payment method needs updating. i don't want to use instant ink. how do i remove this so i can use my printer,Account Management,Account
Customer would like to make changes to personal or system related details on their account,account change or add details,i am having a hard time figuring out how to update my payment information.,Account Management,Account
Customer needs to speak to a customer service agent about an issue,Route to Agent,change billing account speak to a representative,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,whats instant ink phone number,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,need address to mail previous printer back there,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,can i have verbal contact with agent to solve my problem. i do subscribe to added support fron hp,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,this is my second call of the tech was unable to connect my computer with my printer you said to call back after six p. m.,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,scanning feature doesn't work i need to talk with a representative,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,printer not working i need to speak to somebody sometime,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,please send you representative for service cpu,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,printer has been sent back for repair under warranty need to talk to agent,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,this is my second call of the tech was unable to connect my computer with my printer you said to call back after six p. m.,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer is not printing is nothing connecting and um after going to the technical team before they said they will send me another one that's why i'm calling back,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer is not working -- need a phone number to call. i installed the cartridge you sent me and am told there is a problem with it ... printer is one a month or so old,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer is not working right now i speak to someone,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer is not working tech support please,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer is offline i need to speak to a technical support person this happened before and they told me if it happened again to call,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer isn't printing i wanna speak to representative,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer says connect printer to update h. p. n. sync status could not connect to web services on check the internet connection i've done that agent please custom,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,"my printer says low ink, just got it, set it up 3-9-2023, don't want to rrun out of ink, have u guys send me so ., how long do it last when it says low ink, i have this 12 months thing, i need a phone number for u guys",Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,"my printer screen isn't working. no one is helping. if someone doesn't reach out to me to help fix my product, i will file a complaint with the better business bureau",Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,my printer will not connect i need tech support,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i sent this to you a in june and you were supposed to make it have more speed which you didn't do so i'm calling to see that i see,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i talk to an agent for a care,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i talk to technician plese number,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i talked with the representative a couple weeks ago and it was gonna send me a desk that i never received it so i wanna talk to the rapper gen to see what is wrong with my computer because i'm having,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i think my um printer has a security issue i think it's been hacked into i need to speak to someone who can help me with secure,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i think speak to technical support,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i tried to put our been in contact with your technical department since the fourth of august to try and resolve the situation with that printer,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i try to send something to it says please call tech support,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i used hp smart to diagnose a problem. it cancelled hp instant ink and i don't know what else. need support phone number to straighten things out.,Route Customer,Customer Support Path
Customer needs to speak to a customer service agent about an issue,Route to Agent,i wanna talk about the instant program that i canceled and why i can't use my toner that i paid for,Route Customer,Customer Support Path
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,i think i have a wireless adapter issue,Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,"can't reconnect my printer to new wifi,i am trying to connect my printer to my new laptop",Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue, but my printer keeps saying the wireless connection is off,Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,i cannot connect it to the wifi my printer connection is locked,Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,having trouble connecting the printer to wifi network,Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,printer won't connect to wifi. used to work fine. now it can't be found,Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,printer was working now stating offline. how do i get printer back online?,Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,printer is not listed to connect to wifi,Network Issue,Internet Wireless-Wired
A problem with the connection between a device and a wireless network. This can include issues such as the device being unable to connect to a wireless network or the device being unable to access the internet on a wireless network resources. ,wireless connection issue,printer dropped from my wifi connection to my print to my computer,Network Issue,Internet Wireless-Wired
